property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,signature global park 4,sector 36,0.82,7586.0,3.0,2.0,2,2.0,New Property,890.56,0.0,0.0,0.0,0.0,0.0,0.0,8.0
flat,smart world gems,sector 89,0.95,8597.0,2.0,2.0,2,4.0,New Property,1288.843707734808,1.0,1.0,0.0,0.0,0.0,0.0,38.0
flat,breez global hill view,sohna road,0.32,5470.0,2.0,2.0,1,17.0,New Property,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,bestech park view sanskruti,sector 92,1.6,8020.0,3.0,4.0,3+,10.0,Relatively New,1615.0,0.0,1.0,0.0,0.0,1.0,1.0,174.0
flat,suncity avenue,sector 102,0.48,9023.0,2.0,2.0,1,5.0,Relatively New,629.8,0.0,0.0,1.0,0.0,0.0,0.0,159.0
flat,paras quartier,gwal pahari,7.5,14019.0,4.0,4.0,3+,20.0,New Property,4777.779772606571,0.0,1.0,0.0,1.0,1.0,1.0,49.0
flat,experion the heartsong,sector 108,2.0,8554.0,3.0,3.0,3+,14.0,Relatively New,2075.667919297527,0.0,1.0,0.0,0.0,0.0,0.0,95.0
flat,adani m2k oyster grande,sector 102,1.9,9104.0,3.0,4.0,3,8.0,Relatively New,1672.8630646707804,0.0,1.0,0.0,0.0,0.0,0.0,165.0
house,independent,sector 105,1.2,10118.0,3.0,2.0,1,2.0,Old Property,1185.51,0.0,0.0,0.0,0.0,0.0,0.0,9.0
house,dlf city phase 1,sector 26,4.5,33333.0,3.0,3.0,2,2.0,Moderately Old,1350.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0
house,independent,sector 109,1.55,6568.0,3.0,2.0,0,1.0,Relatively New,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,dlf regency park,sector 28,1.6,14545.0,2.0,2.0,2,3.0,Relatively New,1285.8257022777248,0.0,0.0,0.0,0.0,0.0,0.0,52.0
flat,ats tourmaline,sector 109,2.25,8704.0,3.0,4.0,3,14.0,Relatively New,2297.2554451166952,0.0,1.0,0.0,0.0,0.0,0.0,101.0
flat,emaar mgf emerald floors premier,sector 65,2.77,14025.0,4.0,4.0,3+,3.0,Relatively New,2166.077293926973,1.0,1.0,0.0,0.0,0.0,2.0,174.0
house,independent,sector 12,1.2,14184.0,2.0,4.0,2,2.0,Relatively New,846.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
flat,bestech park view sanskruti,sector 92,1.55,7568.0,3.0,4.0,3,16.0,Relatively New,1767.957306520302,0.0,1.0,0.0,0.0,0.0,1.0,60.0
flat,ss the leaf,sector 85,1.09,6667.0,2.0,2.0,3,9.0,Relatively New,1638.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0
flat,capital residences 360,sector 70a,1.15,11500.0,2.0,2.0,3,4.0,New Property,1400.0,0.0,0.0,0.0,1.0,0.0,0.0,132.0
flat,ss the leaf,sector 85,1.77,7350.0,3.0,4.0,3+,7.0,New Property,2138.466003537777,0.0,0.0,1.0,0.0,0.0,0.0,107.0
flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,2.0,2.0,1,2.0,Old Property,844.190903724559,0.0,0.0,0.0,0.0,1.0,1.0,49.0
flat,m3m woodshire,sector 107,0.9,6589.0,2.0,2.0,3+,10.0,Relatively New,1203.671663847198,0.0,0.0,0.0,0.0,1.0,1.0,49.0
flat,godrej habitat,sector 3,1.2,8310.0,2.0,2.0,3,0.0,Under Construction,1273.6466720006194,0.0,0.0,0.0,0.0,0.0,0.0,60.0
flat,ansal api celebrity suites,sector 2,0.6,8163.0,1.0,1.0,1,5.0,Moderately Old,637.5917901958012,0.0,0.0,0.0,0.0,0.0,1.0,88.0
house,independent,sector 41,9.0,27778.0,8.0,5.0,3+,3.0,Old Property,3240.0,0.0,1.0,1.0,1.0,0.0,1.0,26.0
house,independent,sector 41,7.0,28283.0,7.0,7.0,3+,3.0,Moderately Old,2475.0,1.0,1.0,1.0,1.0,0.0,2.0,151.0
flat,chanderlok society,sector 28,0.9,7235.0,4.0,2.0,3+,1.0,Old Property,1430.6899642177154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,independent,sector 4,0.4,8889.0,1.0,1.0,0,1.0,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,international city by sobha phase 2,sector 109,5.65,10463.0,4.0,4.0,3+,2.0,New Property,5400.0,0.0,1.0,0.0,0.0,1.0,1.0,44.0
flat,emaar digihomes,sector 62,2.15,14257.0,2.0,2.0,3,31.0,Under Construction,1696.2744444410314,0.0,0.0,0.0,0.0,0.0,0.0,101.0
house,uppal southend,sector 49,4.4,15278.0,6.0,6.0,3,3.0,Moderately Old,2880.0,1.0,1.0,1.0,1.0,0.0,2.0,110.0
flat,vipul lavanya,sector 81,0.64,5263.0,2.0,2.0,3,12.0,Relatively New,1411.575929656189,0.0,0.0,0.0,0.0,0.0,1.0,93.0
flat,m3m heights,sector 65,2.86,13999.0,3.0,3.0,3,45.0,Under Construction,2231.4674121637745,0.0,1.0,0.0,0.0,0.0,0.0,48.0
flat,emaar mgf the palm drive,sector 66,3.5,15909.0,3.0,3.0,3,7.0,Moderately Old,2125.0,0.0,1.0,1.0,0.0,0.0,1.0,149.0
house,greenopolis,sector 89,0.7,5397.0,2.0,2.0,2,14.0,New Property,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,dlf the skycourt,sector 86,1.54,9222.0,3.0,3.0,3+,15.0,Relatively New,1780.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
house,vipul tatvam villa,sector 48,8.25,38194.0,4.0,4.0,3+,3.0,Relatively New,2160.0,0.0,1.0,1.0,0.0,0.0,1.0,160.0
house,international city by sobha phase 1,sector 109,6.1,25103.0,5.0,6.0,3+,2.0,Moderately Old,2430.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0
flat,the arzoo cghs,sector 51,2.1,9130.0,4.0,4.0,3,1.0,Relatively New,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
flat,corona optus,sector 37,1.25,7176.0,3.0,3.0,3,2.0,Relatively New,1561.17,1.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,lotus homz,sector 111,0.7,10057.0,2.0,2.0,2,8.0,Relatively New,879.400967390529,0.0,0.0,0.0,0.0,0.0,0.0,68.0
flat,m3m merlin,sector 67,2.8,13679.0,3.0,3.0,3,5.0,Moderately Old,2047.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0
house,housing board colony,sector 28,5.5,30556.0,4.0,3.0,3,2.0,Old Property,1800.0,0.0,0.0,0.0,1.0,1.0,1.0,22.0
flat,puri diplomatic greens,sector 111,2.58,11727.0,3.0,4.0,2,10.0,Moderately Old,2200.0,0.0,1.0,0.0,0.0,0.0,0.0,86.0
flat,la vida by tata housing,sector 113,3.0,14286.0,3.0,3.0,3+,3.0,Relatively New,2460.0,0.0,1.0,0.0,0.0,0.0,0.0,167.0
house,ganpati heights apartment,sector 13,1.25,12077.0,3.0,6.0,2,3.0,Old Property,115.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
flat,smart world orchard,sector 61,2.1,13752.0,3.0,2.0,3,3.0,Under Construction,1528.04,0.0,0.0,0.0,0.0,0.0,0.0,146.0
